"symbol","date","openTime","open","high","low","close","volume"
"BTCETH","02 16 2018","00:00:00",0.0922006,0.09255642,0.09178206,0.09195268,34.41323069
"BTCETH","02 16 2018","00:30:00",0.0917975,0.09202083,0.09128897,0.09149986,42.79740734
"BTCETH","02 16 2018","01:00:00",0.0914998,0.09199999,0.09085375,0.09161428,216.35986008
"BTCETH","02 16 2018","01:30:00",0.09161425,0.09171626,0.09,0.09160569,323.89375577
"BTCETH","02 16 2018","02:00:00",0.09141206,0.09272187,0.09141115,0.09254429,186.62102343
"BTCETH","02 16 2018","02:30:00",0.09268385,0.09289055,0.09231001,0.09271595,28.26894095
"BTCETH","02 16 2018","03:00:00",0.09271598,0.09289046,0.09195074,0.09227952,85.69634715
"BTCETH","02 16 2018","03:30:00",0.09195231,0.09289055,0.09181,0.09242492,99.6096731
"BTCETH","02 16 2018","04:00:00",0.09242483,0.0926898,0.09216764,0.09239862,17.98160921
"BTCETH","02 16 2018","04:30:00",0.09239862,0.09288533,0.09228817,0.09266526,28.8066443
"BTCETH","02 16 2018","05:00:00",0.0926631,0.0926631,0.0920482,0.09204962,34.46364093
"BTCETH","02 16 2018","05:30:00",0.09204962,0.09229876,0.09193001,0.09229876,45.07242559
"BTCETH","02 16 2018","06:00:00",0.09228,0.09240008,0.09210061,0.09239022,11.33894379
"BTCETH","02 16 2018","06:30:00",0.0923,0.0931,0.0921036,0.09284486,20.33700493
"BTCETH","02 16 2018","07:00:00",0.09276496,0.09299992,0.09251204,0.09277991,9.36688098
"BTCETH","02 16 2018","07:30:00",0.0926017,0.09311,0.09260105,0.093109,19.46260335
"BTCETH","02 16 2018","08:00:00",0.09307546,0.09340826,0.09307546,0.09329364,23.28707245
"BTCETH","02 16 2018","08:30:00",0.09329364,0.0935,0.09292426,0.09314999,9.48987438
"BTCETH","02 16 2018","09:00:00",0.09314,0.09340647,0.09294299,0.09340647,30.06604606
"BTCETH","02 16 2018","09:30:00",0.09340647,0.09358921,0.09310704,0.09352444,41.73219836
"BTCETH","02 16 2018","10:00:00",0.09327031,0.09390999,0.09327031,0.09378996,20.10399153
"BTCETH","02 16 2018","10:30:00",0.09369541,0.09424492,0.09360088,0.09419997,49.53554405
"BTCETH","02 16 2018","11:00:00",0.09419997,0.09440485,0.094,0.09440485,22.25657937
"BTCETH","02 16 2018","11:30:00",0.09441051,0.0945,0.094,0.09431306,37.45180477
"BTCETH","02 16 2018","12:00:00",0.09431305,0.09431305,0.09334302,0.09397327,97.05409493
"BTCETH","02 16 2018","12:30:00",0.09399907,0.0942,0.093483,0.09394528,52.54470728
"BTCETH","02 16 2018","13:00:00",0.09394522,0.0940517,0.09325402,0.09372792,41.25460158
"BTCETH","02 16 2018","13:30:00",0.09372792,0.09393592,0.09345771,0.09380439,43.14305068
"BTCETH","02 16 2018","14:00:00",0.09380439,0.09380453,0.0928,0.0928011,33.74079665
"BTCETH","02 16 2018","14:30:00",0.092897,0.09298399,0.09199673,0.09269991,155.77493121
"BTCETH","02 16 2018","15:00:00",0.09269976,0.09289837,0.09200001,0.09262487,98.10527556
"BTCETH","02 16 2018","15:30:00",0.09262461,0.093,0.09225001,0.09293,35.79846251
"BTCETH","02 16 2018","16:00:00",0.09293,0.0930314,0.09226331,0.09226331,133.8402904
"BTCETH","02 16 2018","16:30:00",0.09258699,0.09290331,0.09217784,0.09250088,26.05756752
"BTCETH","02 16 2018","17:00:00",0.09250088,0.0930314,0.09236667,0.0930314,18.79311241
"BTCETH","02 16 2018","17:30:00",0.0930314,0.09312399,0.09287401,0.093048,12.99575204
"BTCETH","02 16 2018","18:00:00",0.093,0.09351029,0.09287548,0.09349995,27.45848056
"BTCETH","02 16 2018","18:30:00",0.09349993,0.09409124,0.093309,0.094,35.59982399
"BTCETH","02 16 2018","19:00:00",0.09400181,0.09400181,0.09344603,0.093924,54.38527353
"BTCETH","02 16 2018","19:30:00",0.093899,0.094,0.09275509,0.09275509,139.17943496
"BTCETH","02 16 2018","20:00:00",0.09275509,0.09351819,0.09268441,0.09339275,40.9576958
"BTCETH","02 16 2018","20:30:00",0.09339253,0.09373693,0.09316712,0.09338665,15.35057828
"BTCETH","02 16 2018","21:00:00",0.09338665,0.09338665,0.09252321,0.09299,8.42333972
"BTCETH","02 16 2018","21:30:00",0.09299,0.09299,0.09251081,0.09298999,35.94789763
"BTCETH","02 16 2018","22:00:00",0.09298999,0.09356105,0.09266453,0.09270003,24.47707825
"BTCETH","02 16 2018","22:30:00",0.09278985,0.09278985,0.09198134,0.09236188,107.5956794
"BTCETH","02 16 2018","23:00:00",0.09204739,0.0924943,0.09204739,0.0924396,15.09171634
"BTCETH","02 16 2018","23:30:00",0.09225003,0.09245,0.09186002,0.09200161,96.02769841
"BTCETH","02 17 2018","00:00:00",0.09200161,0.09312089,0.09200161,0.09284406,57.53387738